,p,d,q,P,D,Q,m,AIC
0,3,1,1,1,1,3,12,270.9510954397412
1,3,1,3,1,1,3,12,271.3478310973919
2,3,1,2,1,1,3,12,272.22263719281614
3,3,1,3,0,1,1,12,272.5804131641583
4,3,1,3,2,1,0,12,272.94943878470184
5,1,1,1,1,1,3,12,273.2815853261023
6,3,1,1,2,1,3,12,273.30264684415727
7,0,1,1,1,1,3,12,273.36740558870184
8,0,1,3,1,1,3,12,273.42076281675077
9,0,1,2,1,1,3,12,273.70199283560845
10,3,1,3,0,1,3,12,274.15887375429054
11,3,1,1,2,1,0,12,274.2569822339632
12,3,1,3,2,1,1,12,274.4414584625407
13,3,1,3,0,1,2,12,274.58032336788256
14,3,1,3,1,1,1,12,274.58036758719913
15,3,1,1,3,1,3,12,274.5867302238757
16,3,1,3,3,1,0,12,274.63066059906436
17,3,1,2,2,1,3,12,274.64593250143156
18,3,1,1,0,1,1,12,274.8554692820245
19,0,1,1,2,1,3,12,274.86221441878604
20,2,1,1,1,1,3,12,274.9669544587174
21,3,1,1,0,1,3,12,275.03075084627443
22,3,1,2,2,1,0,12,275.05357622604777
23,1,1,2,1,1,3,12,275.2549231140482
24,1,1,1,2,1,3,12,275.2860438546346
25,0,1,1,0,1,1,12,275.302387331001
26,3,1,3,1,1,2,12,275.42758621498024
27,0,1,3,2,1,3,12,275.43079418115747
28,3,1,3,1,1,0,12,275.49737022288355
29,0,1,2,2,1,3,12,275.62171352005424
30,2,1,3,0,1,1,12,275.730658217595
31,3,1,2,0,1,1,12,275.80130917676456
32,1,1,1,0,1,1,12,275.8599886341541
33,0,1,1,2,1,0,12,275.86489288771304
34,3,1,2,3,1,3,12,275.8935568586305
35,3,1,1,2,1,1,12,275.9176960985652
36,3,1,2,0,1,3,12,276.0272768885545
37,3,1,1,3,1,0,12,276.053526834742
38,0,1,2,0,1,1,12,276.0760887562441
39,3,1,1,0,1,2,12,276.2169962077578
40,2,1,3,1,1,3,12,276.2363270771903
41,0,1,1,0,1,2,12,276.24786252328806
42,1,1,1,2,1,0,12,276.3295723951657
43,2,1,1,2,1,2,12,276.3429621526513
44,2,1,2,1,1,3,12,276.41681224905756
45,3,1,3,2,1,2,12,276.4319270976074
46,3,1,3,3,1,1,12,276.4374880580068
47,3,1,1,1,1,2,12,276.5439266945886
48,3,1,1,1,1,1,12,276.5612098266073
49,2,1,0,1,1,3,12,276.6087226596373
50,0,1,2,2,1,0,12,276.6130840388056
51,0,1,1,1,1,1,12,276.63553373720777
52,0,1,3,2,1,0,12,276.6384359341646
53,2,1,1,2,1,3,12,276.64970493686087
54,0,1,1,3,1,3,12,276.65324425731046
55,0,1,3,0,1,1,12,276.656022114173
56,3,1,3,3,1,3,12,276.67847703773623
57,3,1,2,2,1,1,12,276.74688799848457
58,1,1,1,3,1,3,12,276.7961403166857
59,3,1,2,3,1,0,12,276.8714031697939
60,0,1,3,3,1,3,12,276.9024346682464
61,3,1,2,0,1,2,12,276.9517597982903
62,0,1,1,0,1,3,12,277.0766381878318
63,0,1,2,3,1,3,12,277.19773690828924
64,1,1,2,2,1,3,12,277.2311361348305
65,1,1,1,0,1,2,12,277.3483680773632
66,3,1,2,1,1,2,12,277.3854869067692
67,3,1,2,1,1,1,12,277.40543491745933
68,1,1,1,0,1,3,12,277.4369115140853
69,2,1,3,2,1,0,12,277.4406990916816
70,0,1,1,2,1,1,12,277.4957684312815
71,0,1,2,0,1,2,12,277.53350770914096
72,1,1,1,1,1,1,12,277.5680224123225
73,0,1,1,3,1,0,12,277.578465656296
74,0,1,1,1,1,2,12,277.6027325854575
75,1,1,3,1,1,3,12,277.6416123803326
76,0,1,3,0,1,3,12,277.66106523538843
77,2,1,1,0,1,1,12,277.69481887045424
78,0,1,3,0,1,2,12,277.70484338194655
79,0,1,2,1,1,1,12,277.76449598673423
80,0,1,2,0,1,3,12,277.7720809491841
81,1,1,2,0,1,1,12,277.8368589019696
82,2,1,0,2,1,3,12,277.8500234304222
83,3,1,1,2,1,2,12,277.8826139410002
84,3,1,1,3,1,1,12,277.8970198387917
85,2,1,3,0,1,2,12,277.9911320905157
86,2,1,1,2,1,0,12,278.01989108314035
87,2,1,1,3,1,3,12,278.0242925917081
88,0,1,3,1,1,1,12,278.1480249676023
89,3,1,1,1,1,0,12,278.22356982159107
90,3,1,0,1,1,3,12,278.29571880086917
91,1,1,2,2,1,0,12,278.3014931186893
92,1,1,1,2,1,1,12,278.3040929048437
93,1,1,1,3,1,0,12,278.3166727053481
94,1,1,1,1,1,2,12,278.3345862115729
95,2,1,3,1,1,0,12,278.39929373404885
96,3,1,3,3,1,2,12,278.4225662868429
97,0,1,3,2,1,1,12,278.51816686380994
98,0,1,3,3,1,0,12,278.5580141517088
99,0,1,2,2,1,1,12,278.5663212493629
100,0,1,2,3,1,0,12,278.58871714663155
101,0,1,2,1,1,2,12,278.59484999348894
102,0,1,3,1,1,2,12,278.609052722087
103,2,1,1,0,1,2,12,278.62776767936964
104,2,1,3,1,1,1,12,278.65434120034274
105,2,1,3,2,1,3,12,278.6578016622049
106,2,1,2,2,1,3,12,278.664170276957
107,3,1,2,2,1,2,12,278.71363813046145
108,3,1,2,3,1,1,12,278.72980916073715
109,1,1,2,3,1,3,12,278.7603650854079
110,2,1,2,0,1,1,12,278.7670187642158
111,0,1,1,1,1,0,12,278.98072814849456
112,2,1,3,0,1,3,12,279.0666087154052
113,3,1,2,1,1,0,12,279.1289856181453
114,2,1,1,0,1,3,12,279.130817020221
115,2,1,2,2,1,0,12,279.13925918637324
116,2,1,1,1,1,1,12,279.155637763938
117,2,1,0,2,1,0,12,279.17288824472763
118,1,1,2,0,1,2,12,279.2857583163128
119,1,1,1,1,1,0,12,279.4097841039375
120,1,1,2,0,1,3,12,279.41398335938214
121,0,1,1,3,1,1,12,279.4818272337696
122,0,1,1,2,1,2,12,279.508545935215
123,1,1,2,1,1,1,12,279.5228502627007
124,2,1,3,3,1,0,12,279.54514501409324
125,1,1,3,2,1,3,12,279.5521835984592
126,2,1,3,2,1,1,12,279.58899008298346
127,0,1,2,1,1,0,12,279.59444619018416
128,3,1,0,2,1,3,12,279.63358992725875
129,2,1,1,2,1,1,12,279.64264815736425
130,2,1,1,3,1,0,12,279.7118931261564
131,2,1,0,0,1,3,12,279.71747615676765
132,1,1,3,0,1,1,12,279.7744415805566
133,2,1,1,1,1,2,12,279.8336880109709
134,3,1,1,3,1,2,12,279.8814681315986
135,2,1,3,1,1,2,12,280.0901543354956
136,1,1,1,2,1,2,12,280.133932441193
137,2,1,0,0,1,1,12,280.15079901048205
138,2,1,0,3,1,3,12,280.1512631313535
139,2,1,2,0,1,3,12,280.1776644732379
140,2,1,0,2,1,1,12,280.18429023146336
141,2,1,2,3,1,3,12,280.19815877332053
142,1,1,2,2,1,1,12,280.26070554611783
143,1,1,2,3,1,0,12,280.2797567832813
144,1,1,2,1,1,2,12,280.2898421925803
145,3,1,3,2,1,3,12,280.29298933563285
146,1,1,1,3,1,1,12,280.29852873583997
147,2,1,3,3,1,3,12,280.3283911031316
148,1,1,3,2,1,0,12,280.3454179013718
149,2,1,0,3,1,0,12,280.37821202358367
150,0,1,2,2,1,2,12,280.4115112166569
151,0,1,3,2,1,2,12,280.44369269407025
152,0,1,3,3,1,1,12,280.5181126144058
153,0,1,3,1,1,0,12,280.52957926481116
154,2,1,2,0,1,2,12,280.5427346230827
155,0,1,2,3,1,1,12,280.5624692692141
156,2,1,2,1,1,1,12,280.6494363195163
157,3,1,2,3,1,2,12,280.7104620667186
158,2,1,2,2,1,1,12,280.8813579714126
159,2,1,2,3,1,0,12,281.00617649094403
160,3,1,0,2,1,0,12,281.0704379766174
161,1,1,3,3,1,3,12,281.20052738755317
162,1,1,3,0,1,2,12,281.31493486168904
163,2,1,1,1,1,0,12,281.37419576012803
164,0,1,1,3,1,2,12,281.3775595062766
165,2,1,2,1,1,2,12,281.39777282961575
166,1,1,2,1,1,0,12,281.4043826093366
167,1,1,3,1,1,1,12,281.51293853105403
168,3,1,0,3,1,3,12,281.534381302289
169,2,1,3,2,1,2,12,281.54662380728627
170,2,1,3,3,1,1,12,281.55537053462126
171,2,1,0,1,1,2,12,281.558650745947
172,1,1,3,0,1,3,12,281.56320695392174
173,3,1,0,0,1,3,12,281.5965493322476
174,2,1,1,3,1,1,12,281.6158415581265
175,2,1,0,0,1,2,12,281.83836180050133
176,2,1,2,1,1,0,12,281.9089180582398
177,3,1,0,0,1,1,12,281.9144929778009
178,2,1,0,1,1,1,12,282.0185944261678
179,1,1,1,3,1,2,12,282.05304473714375
180,1,1,2,2,1,2,12,282.10516652391357
181,3,1,0,2,1,1,12,282.1346021187284
182,2,1,0,2,1,2,12,282.1614957102629
183,0,1,3,3,1,2,12,282.1669958234403
184,2,1,0,3,1,1,12,282.17375108630665
185,1,1,2,3,1,1,12,282.25670324624576
186,3,1,0,3,1,0,12,282.33108051653016
187,1,1,3,2,1,1,12,282.3378482266712
188,1,1,3,3,1,0,12,282.3425294377178
189,0,1,2,3,1,2,12,282.34637215477125
190,1,1,3,1,1,2,12,282.38211174799557
191,2,1,2,2,1,2,12,282.83861959981715
192,2,1,2,3,1,1,12,282.85812977707195
193,1,1,3,1,1,0,12,283.0589036728611
194,3,1,1,0,1,0,12,283.3823347927864
195,2,1,1,3,1,2,12,283.42624783497445
196,3,1,0,1,1,2,12,283.44570654786645
197,2,1,3,3,1,2,12,283.54025793983647
198,3,1,0,0,1,2,12,283.64178034764507
199,3,1,2,0,1,0,12,283.70482650158135
200,3,1,0,1,1,1,12,283.79785599361196
201,2,1,0,1,1,0,12,283.82121195960497
202,1,1,2,3,1,2,12,284.0118344451014
203,3,1,0,2,1,2,12,284.12007222333796
204,3,1,0,3,1,1,12,284.12768134575
205,1,1,3,2,1,2,12,284.1550596718842
206,2,1,0,3,1,2,12,284.1794895155039
207,1,1,3,3,1,1,12,284.33029297756264
208,0,1,1,0,1,0,12,284.7559244937872
209,2,1,2,3,1,2,12,284.83657780653914
210,3,1,3,0,1,0,12,285.04738855417736
211,3,1,0,1,1,0,12,285.5740261871611
212,2,1,3,0,1,0,12,285.98309685430456
213,1,1,1,0,1,0,12,286.03348522907345
214,3,1,0,3,1,2,12,286.13210077920564
215,1,1,3,3,1,2,12,286.14419331895124
216,0,1,2,0,1,0,12,286.1788442916758
217,0,1,3,0,1,0,12,286.368998312961
218,2,1,1,0,1,0,12,286.6542313835192
219,1,1,2,0,1,0,12,287.9663256283617
220,2,1,2,0,1,0,12,288.7539022231255
221,1,1,3,0,1,0,12,289.20579819451274
222,2,1,0,0,1,0,12,290.5831358143906
223,3,1,0,0,1,0,12,292.4665099745806
224,1,1,0,1,1,3,12,294.7005042633018
225,1,1,0,2,1,3,12,296.8001163813866
226,1,1,0,2,1,0,12,297.5350950461231
227,1,1,0,0,1,2,12,297.88435441198203
228,1,1,0,3,1,3,12,298.2816188847271
229,1,1,0,0,1,3,12,298.38136824187893
230,1,1,0,1,1,2,12,298.7762742975883
231,1,1,0,2,1,1,12,298.8845112578704
232,1,1,0,3,1,0,12,299.13857297095944
233,1,1,0,1,1,1,12,300.0701364442374
234,1,1,0,0,1,1,12,300.570528382351
235,1,1,0,2,1,2,12,300.74347979677646
236,1,1,0,3,1,1,12,300.88141022370314
237,1,1,0,3,1,2,12,302.2922926046869
238,1,1,0,1,1,0,12,304.2019721234689
239,1,1,0,0,1,0,12,306.368360625463
240,0,1,0,2,1,2,12,345.27286362733486
241,0,1,0,2,1,3,12,345.8352960058184
242,0,1,0,3,1,2,12,346.21017538385104
243,0,1,0,3,1,3,12,347.9269862236916
244,0,1,0,0,1,2,12,348.55072251673096
245,0,1,0,1,1,3,12,349.643979202885
246,0,1,0,2,1,1,12,349.8467824201082
247,0,1,0,3,1,0,12,350.43898929934915
248,0,1,0,0,1,3,12,350.5296321052061
249,0,1,0,1,1,2,12,350.53602934625474
250,0,1,0,2,1,0,12,350.9222189482539
251,0,1,0,3,1,1,12,351.42517468449836
252,0,1,0,1,1,1,12,351.46683680498063
253,0,1,0,0,1,1,12,354.75171938214135
254,0,1,0,1,1,0,12,357.17370617801913
255,0,1,0,0,1,0,12,357.531870768339
